Labels;Sentences
[1,2,0,0,0];"[ ""Wayne"", ""Dowdy"", ""("", ""D"", "")"" ]"
[0,0,0,0,5,6,6,6,0];"[ ""He"", ""was"", ""born"", ""in"", ""Bobai"", ""County"", "","", ""Guangxi"", ""."" ]"
[5,6,6,6];"[ ""South"", ""Windsor"", "","", ""Connecticut"" ]"
[3,4,4,4,4];"[ ""Communes"", ""of"", ""the"", ""Côte-d'Or"", ""department"" ]"
[1,2,0,0,0,0,0];"[ ""Njenga"", ""Karume"", ""("", ""2006"", ""?"", ""-2008"", "")"" ]"
[0,5,6,6,0,0,0,1,2,0,0,0];"[ ""''"", ""Holy"", ""Roman"", ""Empire"", ""''"", ""'"", ""–"", ""Leopold"", ""I"", ""("", ""1658–1705"", "")"" ]"
[0,0,0,0,0,0,1,2,0,0,0,0];"[ ""The"", ""text"", ""was"", ""first"", ""edited"", ""by"", ""Gershom"", ""Scholem"", ""("", ""1965"", "")"", ""."" ]"
[1,2,2,0,0,0];"[ ""Gregoria"", ""de"", ""Jesús"", ""("", ""1978"", "")"" ]"
[0,0,0,5,0,5,6,0,0,5,0];"[ ""It"", ""flows"", ""from"", ""Ägerisee"", ""through"", ""Lake"", ""Zug"", ""into"", ""the"", ""Reuss"", ""."" ]"
[3,4,4];"[ ""Epoch"", ""of"", ""Unlight"" ]"
[1,2,0,0];"[ ""Rick"", ""Rubin"", ""-"", ""producer"" ]"
[0,0,0,1,2,2];"[ ""*August"", ""15"", ""–"", ""Mary"", ""Lou"", ""Graham"" ]"
[1,2,0,0,0];"[ ""Joseph"", ""Benavidez"", "","", ""Head"", ""Coach"" ]"
[0,0,5,0,5,0,0,3,4,0,0];"[ ""*Ambassador"", ""to"", ""Egypt"", "","", ""Sudan"", ""and"", ""the"", ""Arab"", ""League"", "":"", ""1963–1970"" ]"
[0,1,2,2,2,2];"[ ""***"", ""Odo"", "","", ""Count"", ""of"", ""Toulouse"" ]"
[0,1,2,0,0,0];"[ ""**"", ""Sancho"", ""II"", ""("", ""1223–1247"", "")"" ]"
[1,2,0,0,0];"[ ""Wesley"", ""Pruden"", ""("", ""2013"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0];"[ ""Previews"", ""are"", ""scheduled"", ""to"", ""begin"", ""March"", ""13"", "","", ""2017"", "","", ""with"", ""an"", ""opening"", ""date"", ""of"", ""April"", ""20"", "","", ""2017"", "","", ""at"", ""the"", ""Shubert"", ""Theatre"", ""."" ]"
[5,0,5,0,5];"[ ""China"", "","", ""Indonesia"", "","", ""Vietnam"" ]"
[3,4,4,4,4,4];"[ ""Emmett"", ""/"", ""Furla"", ""/"", ""Oasis"", ""Films"" ]"
[1,2,0,1,2];"[ ""Ekaterina"", ""Petaikina"", ""/"", ""Maxim"", ""Kurdyukov"" ]"
[0,0,1,2,0,0];"[ ""'"", ""''"", ""Alberto"", ""Puig"", ""''"", ""'"" ]"
[1,2,2,0,0,0,0,0,0,0,0];"[ ""Ferdinand"", ""Albert"", ""I"", "","", ""Duke"", ""of"", ""Brunswick-Lüneburg"", ""("", ""1636–1687"", "")"", "","" ]"
[0,0,0,0,0];"[ ""Death"", ""("", ""DC"", ""Comics"", "")"" ]"
[0,0,0,0,0];"[ ""Goodwater"", ""("", ""73.3"", ""%"", "")"" ]"
[0,0,1,2,0,0,0,1,2,2,0,0,0];"[ ""'"", ""''"", ""Crimean"", ""Khanate"", ""''"", ""'"", ""–"", ""Meñli"", ""I"", ""Giray"", ""("", ""1478–1515"", "")"" ]"
[0,3,4,0,0,0,0,0,0,3,0];"[ ""Since"", ""Texas"", ""Instruments"", ""was"", ""one"", ""of"", ""the"", ""investors"", ""in"", ""P.A"", ""."" ]"
[0,0,0];"[ ""Women"", ""'s"", ""music"" ]"
[3,4,4,0,1,2,0,0,0];"[ ""FK"", ""Viktoria"", ""Stadion"", "","", ""Czech"", ""Republic"", ""("", ""A"", "")"" ]"
[0,0,0,0,0,0,3,4,0,0,0];"[ ""``"", ""One"", ""for"", ""the"", ""Road"", ""("", ""Arctic"", ""Monkeys"", ""song"", "")"", ""''"" ]"
[0,0,0,0];"[ ""Sheik"", ""("", ""disambiguation"", "")"" ]"
[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""Bart-Williams"", ""was"", ""soon"", ""on"", ""his"", ""way"", ""back"", ""home"", ""only"", ""managing"", ""eight"", ""appearances"", ""before"", ""having"", ""his"", ""three-year"", ""contract"", ""cancelled"", ""after"", ""only"", ""two"", ""months"", ""of"", ""signing"", ""it"", ""."" ]"
[3,0,3,4,0];"[ ""M-188"", ""("", ""Michigan"", ""highway"", "")"" ]"
[1,2,0,0,1,2,0,0,1,2,0,0,1,2,0];"[ ""Oliver"", ""Neuville"", ""14"", "","", ""Igor"", ""Pamić"", ""6"", "","", ""Victor"", ""Agali"", ""6"", "","", ""Sławomir"", ""Majak"", ""5"" ]"
[5,6,0,5];"[ ""Coffee"", ""County"", "","", ""Georgia"" ]"
[5,0,5,0] ;"[ ""Eleonorenhain"", "":"", ""Lenora"", ""B,66"" ]"
[0,0,0,0,0,1,2];"[ ""Solicitor"", ""General"", ""for"", ""Scotland"", ""—"", ""Lesley"", ""Thomson"" ]"
[1,2,2];"[ ""Thirumudi"", ""N."", ""Sethuraman"" ]"
[3,4,4,4];"[ ""CAE"", ""Global"", ""Academy"", ""Phoenix"" ]"
[0,0,1,2,0,0];"[ ""This"", ""was"", ""Mariano"", ""Moreno’s"", ""a.k.a"", ""."" ]"
[0,0,0,0,0];"[ ""Ölürüm"", ""Sana"", ""("", ""album"", "")"" ]"
[0,0,0,0,0,3,4,4,4,4];"[ ""``"", ""Boogie"", ""Wonderland"", ""''"", ""–"", ""Earth"", "","", ""Wind"", ""and"", ""Fire"" ]"
[1,2,0,0,0,0,0,0,0];"[ ""Florynce"", ""Kennedy"", ""also"", ""hosted"", ""a"", ""regular"", ""opinion"", ""segment"", ""."" ]"
[0,0,0,3,4,4,0,0,0,0,3,4,4,4,0,5];"[ ""'"", ""''"", ""1985"", ""Major"", ""League"", ""Baseball"", ""All-Star"", ""Game"", ""at"", ""the"", ""Hubert"", ""H."", ""Humphrey"", ""Metrodome"", ""in"", ""Minneapolis"" ]"
[1,2,0,0,0];"[ ""William"", ""Heseltine"", ""("", ""acting"", "")"" ]"
[0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,4,0];"[ ""It"", ""was"", ""included"", ""on"", ""their"", ""May"", ""2014"", ""album"", ""Barrel"", ""Brothers"", ""''"", "","", ""released"", ""on"", ""EMPIRE"", ""Recordings"", ""."" ]"
[0,0,0,3,4];"[ ""Communes"", ""of"", ""the"", ""Aube"", ""department"" ]"
[0,0,0,0,3,4,0,0,0,5,6,0];"[ ""''"", ""Cannonball"", ""''"", ""by"", ""The"", ""Breeders"", ""("", ""co-directed"", ""by"", ""Kim"", ""Gordon"", "")"" ]"
[1,2,2,];"[ ""José"", ""San"", ""Román"" ]"
[0,0,1,2,0,0,0,0];"[ ""Decadent"", ""poet"", ""Ernest"", ""Dowson"", ""was"", ""his"", ""great-nephew"", ""."" ]"
[0,0,0,0];"[ ""From"", ""Enslavement"", ""to"", ""Obliteration"" ]"
[0,3,4,4,4,4,4,4,0,0,3,0,0,0,0,3,0];"[ ""**"", ""Mitsubishi"", ""Fuso"", ""Truck"", ""of"", ""America"", "","", ""Inc"", ""."", ""("", ""MFTA"", ""--"", ""a"", ""subsidiary"", ""of"", ""MFTBC"", "")"" ]"
[3,4,4,4];"[ ""75th"", ""Guards"", ""Rifle"", ""Division"" ]"
[ 1,2,0,0,3,0,3,0,3,0,3,0,3,0];"[ ""Alex"", ""Stiebling"", ""-"", ""("", ""WEC"", "","", ""Pancrase"", "","", ""PRIDE"", "","", ""UFC"", "","", ""WFA"", "")"" ]"
[0,0,1,2,0,0,0,0,0];"[ ""'"", ""''"", ""Neftalí"", ""Feliz"", ""''"", ""'"", ""("", ""30"", "")"" ]"
[1,2,0,1,2,0,0,0,0,0,1,2,0,1,2,0,0,0,00,0,0,0,0];"[ ""Ilija"", ""Bozoljac"", ""and"", ""Filip"", ""Krajinović"", ""won"", ""the"", ""title"", "","", ""defeating"", ""Nikoloz"", ""Basilashvili"", ""and"", ""Alexander"", ""Bury"", ""in"", ""the"", ""final"", "","", ""6–1"", "","", ""6–2"", ""."" ]"
[1,0,0,0,0,5] ;"[ ""Ealdred"", "","", ""king"", ""of"", ""the"", ""Hwicce"" ]"
[5,6,6,6,6];"[ ""East"", ""Fork"", ""Des"", ""Moines"", ""River"" ]"
[3,4,4,4,4];"[ ""National"", ""Autonomous"", ""University"", ""of"", ""Mexico"" ]"
[0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0];"[ ""The"", ""album"", ""was"", ""co-produced"", "","", ""recorded"", ""and"", ""mixed"", ""by"", ""Steve"", ""Addabbo"", ""("", ""Suzanne"", ""Vega"", "")"", ""."" ]"
[1,2,1,2,0,0];"[ ""Rosie"", ""Casals"", ""Martina"", ""Navratilova6–4"", "","", ""7–5"" ]"
[0,0,0,0,0];"[ ""The"", ""Great"", ""Wide"", ""Open"", ""''"" ]"
[0,0,0];"[ ""Liverpool"", ""Sound"", ""Collage"" ]"
[1,2,0,0,0];"[ ""Dwight"", ""Howard"", ""("", ""26"", "")"" ]"
[5,6,0,5,6,6];"[ ""Bon"", ""Gir"", "","", ""Sistan"", ""and"", ""Baluchestan"" ]"
[1,2,2];"[ ""Sfas"", ""Emes"", ""Yeshiva"" ]"
[1,2,2];"[ ""Nguyễn"", ""Minh"", ""Triết"" ]"
[1,2,0,1,2];"[ ""Matthew"", ""Vaughn"", ""/"", ""Mark"", ""Strong"" ]"
[3,4,4,4,4];"[ ""National"", ""Center"", ""for"", ""Education"", ""Statistics"" ]"
[5,6,6];"[ ""Phú"", ""Ninh"", ""District"" ]"
[5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,0,5,0];"[ ""Washington]]"", ""and"", ""parts"", ""of"", ""California"", "","", ""Idaho"", "","", ""Montana"", "","", ""Nevada"", "","", ""Oregon"", "","", ""Utah"", "","", ""and"", ""Wyoming"", ""."" ]"
[0,0,0,0,5,6,0];"[ ""It"", ""is"", ""found"", ""in"", ""South"", ""Africa"", ""."" ]"
[1,2,2] ;"[ ""Philip"", ""the"", ""Arab"" ]"
[0,0,0,0,5,6,0,0,0,0];"[ ""In"", ""1727"", "","", ""separate"", ""Novgorod"", ""Governorate"", ""was"", ""split"", ""off"", ""."" ]"
[3,3,4,4] ;"[ ""1989"", ""National"", ""Invitation"", ""Tournament"" ]"
[0,0,0,0,0,0,0,0,0,5,0];"[ ""In"", ""1867"", ""he"", ""still"", ""controlled"", ""over"", ""30,000"", ""hectares"", ""in"", ""Queensland"", ""."" ]"
[3,4,4,4,4];"[ ""League"", ""of"", ""Communists"", ""of"", ""Yugoslavia"" ]"
[0,1,2,0,0,0,0,0];"[ "":"", ""Arthur"", ""Macalister"", ""("", ""August"", ""1866–August"", ""1867"", "")"" ]"
[5,0,0,0];"[ ""Rak"", ""("", ""stream"", "")"" ]"
[5,6,0,5];"[ ""Kilmore"", ""East"", "","", ""Victoria"" ]"
[0,0,0];"[ ""Bézout"", ""'s"", ""theorem"" ]"
[1,2,0,5,0,5,0,5,0];"[ ""Constantine"", ""II"", ""received"", ""Gaul"", "","", ""Spain"", ""and"", ""Britain"", ""."" ]"
[3,4,4,4,4,4,4,4];"[ ""People"", ""'s"", ""Artist"", ""of"", ""the"", ""Russian"", ""SFSR"", ""1958"" ]"
[0,0,0,0,0];"[ ""Moonlighting"", ""("", ""TV"", ""series"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0];"[ ""One"", ""example"", ""is"", ""the"", ""double-sided"", ""single"", ""``"", ""Mama"", ""''"", ""and"", ""``"", ""Who"", ""Do"", ""You"", ""Think"", ""You"", ""Are"", ""''"", ""by"", ""the"", ""Spice"", ""Girls"", ""."" ]"
[0,0,0,0,0,5,0];"[ ""It"", ""has"", ""its"", ""headquarters"", ""in"", ""Windhoek"", ""."" ]"
[3,4,4,4,4,4];"[ ""O"", ""Comércio"", ""da"", ""Póvoa"", ""de"", ""Varzim"" ]"
[3,4,4,4,4];"[ ""24FPS"", ""International"", ""Short"", ""Film"", ""Festival"" ]"
[5,0,5,0,0,0];"[ ""Coldwater"", "","", ""Mississippi"", ""–"", ""$"", ""12,330"" ]"
[0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0];"[ ""In"", ""1815"", ""-"", ""1915"", "","", ""it"", ""belonged"", ""to"", ""Russian-controlled"", ""Congress"", ""Poland"", "","", ""and"", ""remained"", ""in"", ""private"", ""hands"", ""until"", ""the"", ""mid-19th"", ""century"", ""."" ]"
[1,0,0,0];"[ ""Omega"", ""("", ""singer"", "")"" ]"
[0,0,0,0,3,0,0,0];"[ ""The"", ""Accidental"", ""Couple"", ""("", ""KBS2"", "","", ""2009"", "")"" ]"
[5,6,0,5,6];"[ ""Garfield"", ""Township"", "","", ""Clay"", ""County"" ]"
[0,0,0,0,0];"[ ""Elgon"", ""shrew"", ""("", ""''C"", ""."" ]"
[5,6,0,5,0,0,0,0];"[ ""Jankov"", ""Most"", ""("", ""Iancaid"", "","", ""Iancov"", ""Most"", "")"" ]"
[5,0,5];"[ ""Robertsdale"", "","", ""Alabama"" ]"
[0,0,0,0,5,0,5,0];"[ ""It"", ""is"", ""found"", ""in"", ""Afghanistan"", ""and"", ""Iran"", ""."" ]"
[1,2,0,3,0];"[ ""Ryan"", ""Winkler"", ""("", ""DFL"", "")"" ]"
[1,2,0,3,0,0];"[ ""Pekka"", ""Lagerblom"", ""–"", ""HamKam"", ""–"", ""2014"" ]"
[3,4,4,4,4];"[ ""Helena"", ""College"", ""University"", ""of"", ""Montana"" ]"
[0,0,0,0,5,0];"[ ""It"", ""is"", ""based"", ""in"", ""Greenbay"", ""."" ]"
[3,4,4,4,4];"[ ""Social"", ""Democratic"", ""and"", ""Labour"", ""Party"" ]"
[1,2,2];"[ ""Ya'akov"", ""Moshe"", ""Toledano"" ]"
[3,4,4,4,0,5,6];"[ ""Kansas"", ""City"", ""Zoological"", ""Park"", ""in"", ""Swope"", ""Park"" ]"
[1,2,0,0,0] ;"[ ""William"", ""Chisholm"", ""("", ""II"", "")"" ]"
[1,2,0,0,0,0,0];"[ ""Juliana"", ""Margulies"", ""–"", ""The"", ""Good"", ""Wife"", ""''"" ]"
[0,0,0,0,0,0,5,0,5,0];"[ ""Their"", ""corporate"", ""headquarters"", ""is"", ""located"", ""in"", ""Canton"", "","", ""Georgia"", ""."" ]"
[0,0,0,0];"[ ""''"", ""Glyphipterix"", ""similis"", ""''"" ]"
[0,0,0,3,4];"[ ""The"", ""ruins"", ""of"", ""Holyrood"", ""Abbey"" ]"
[0,0,0,0,0,1,2,0,1,2,2,0];"[ ""He"", ""was"", ""the"", ""boyfriend"", ""of"", ""Claudine"", ""Barretto"", ""before"", ""Mark"", ""Anthony"", ""Fernandez"", ""."" ]"
[0,0,0,0] ;"[ ""Aurea"", ""("", ""disambiguation"", "")"" ]"
[3,4,4];"[ ""FC"", ""Pozis"", ""Zelenodolsk"" ]"
[5,0,0,0,0];"[ ""Koughin"", ""("", ""678"", ""inhabitants"", "")"" ]"
[0,0,0,0,5,0,5,0,0,5,0];"[ ""It"", ""is"", ""found"", ""in"", ""Brazil"", "","", ""Colombia"", "","", ""and"", ""Venezuela"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0,0,0];"[ ""''"", ""Kamen"", ""Rider"", ""OOO"", ""''"", ""("", ""Story"", ""within"", ""a"", ""story"", ""Narrator"", "")"" ]"
[0,0,0,0,0,1,2];"[ ""'"", ""''"", ""'"", ""''"", ""-"", ""Keity"", ""Mendieta"" ]"
[0,5,6,0,0,0];"[ "";"", ""Shama"", ""District"", ""-"", ""created"", ""2008"" ]"
[3,4,4,4];"[ ""Extremadura"", ""autonomous"", ""football"", ""team"" ]"
[0,0,1,2,0,0,0,0,0];"[ ""Played"", ""by"", ""Dania"", ""Ramirez"", ""("", ""5"", ""episodes"", "")"", ""."" ]"
[0,0,1,2,0,0];"[ ""'"", ""''"", ""Marco"", ""Papa"", ""''"", ""'"" ]"
[0,0,0,0,5,0];"[ ""It"", ""is"", ""found"", ""in"", ""Romania"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0,0];"[ ""Mistle"", ""thrush"", "","", ""''Turdus"", ""viscivorus"", ""''"", ""("", ""rare"", ""/"", ""accidental"", "")"" ]"
[0,5,6,6,0,0,0,1,0,0,0];"[ ""''"", ""Kingdom"", ""of"", ""England"", ""''"", ""'"", ""–"", ""Edgar"", ""("", ""959–975"", "")"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""In"", ""1957"", "","", ""she"", ""won"", ""the"", ""Tony"", ""Award"", ""for"", ""Best"", ""Leading"", ""Actress"", ""in"", ""a"", ""Musical"", ""."" ]"
[1,2,2,0,0,0];"[ ""Joseph"", ""A."", ""Gavagan"", ""("", ""D"", "")"" ]"
[1,0,0,0,0];"[ ""Ptolemaeus"", ""("", ""Martian"", ""crater"", "")"" ]"
[3,4,4,4];"[ ""Art"", ""Gallery"", ""of"", ""Peterborough"" ]"
[0,0,0,0,0,0,0];"[ ""''"", ""Alaena"", ""unimaculosa"", ""''"", ""Hawker-Smith"", "","", ""1926"" ]"
[0,0,5,0,0] ;"[ ""Index"", ""of"", ""Falkland"", ""Islands-related"", ""articles"" ]"
[0,0,3,4,4];"[ ""2009"", "":"", ""IEP"", ""de"", ""Lyon"" ]"
[0,0,0,0,0,0,3,4,0,0,0,0,0,0,5,0,0,0,0];"[ ""He"", ""played"", ""four"", ""seasons"", ""for"", ""the"", ""Wisconsin"", ""Badgers"", "","", ""in"", ""2011"", ""he"", ""moved"", ""to"", ""Germany"", ""to"", ""play"", ""professionally"", ""."" ]"
[0,0,1,2];"[ ""1854"", ""-"", ""Christopher"", ""Wordsworth"" ]"
[0,0,0,0,0,0,0,0,3,4,4,4,0];"[ ""The"", ""competition"", ""started"", ""in"", ""2010"", ""after"", ""the"", ""unofficial"", ""Portuguese"", ""Beach"", ""Soccer"", ""League"", ""."" ]"
[0,0,0,0,0,0];"[ ""'"", ""''"", ""Esmeraldas"", ""woodstar"", ""''"", ""'"" ]"
[1,2,0,0,0];"[ ""Nate"", ""Robinson"", ""("", ""6"", "")"" ]"
[1,2,0,0,0];"[ ""Manuel"", ""Contepomi"", "","", ""11"", ""."" ]"
[5,6,0,5,6];"[ ""Atlantic"", ""City"", "","", ""New"", ""Jersey"" ]"
[1,2,2,2,2,0,0,0] ;"[ ""Bob"", ""Casey"", "","", ""Jr"", ""."", ""("", ""D-PA"", "")"" ]"
[0,0,0,1,2,2,2,0,0,0];"[ ""30"", "")"", "","", ""Loy"", ""Allen"", ""Jr"", ""."", ""("", ""No"", ""."" ]"
[0,0,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] ;"[ ""In"", ""the"", ""2007"", ""Swiss"", ""Council"", ""of"", ""States"", ""election"", ""a"", ""total"", ""of"", ""212"", ""votes"", ""were"", ""cast"", "","", ""of"", ""which"", ""3"", ""or"", ""about"", ""1.4"", ""%"", ""were"", ""invalid"", ""."" ]"
[0,0,0,0,0,0,0,0,0,0,0,3,4,4,4];"[ ""People"", ""'s"", ""Instinctive"", ""Travels"", ""and"", ""the"", ""Paths"", ""of"", ""Rhythm"", ""''"", ""--"", ""A"", ""Tribe"", ""Called"", ""Quest"" ]"
[1,2,0,0,0,0,0];"[ ""Frankie"", ""Hayes"", "":"", ""29"", ""("", ""1945"", "")"" ]"
[0,0,1,0,0,0,0,0,0,0,0,0,0,0] ;"[ ""***"", ""Pope"", ""Victor"", ""III"", ""OSB"", ""("", ""24"", ""May"", ""1086"", ""–"", ""16"", ""September"", ""1087"", "")"" ]"
[3,4,4,4,0,0,0,0];"[ ""Boys"", ""Choir"", ""of"", ""Harlem"", ""Feb"", ""23"", "","", ""2002"" ]"
[1,2,0,0,0,0,0,0];"[ ""Andranik"", ""Madadian"", ""("", ""born"", ""1956"", "")"", "","", ""singer"" ]"
[0,0,0,0,0];"[ ""2011"", ""—"", ""did"", ""not"", ""participate"" ]"
[3,4,4];"[ ""University"", ""of"", ""Hertfordshire"" ]"
[5,6,0,3,4];"[ ""Kuala"", ""Lumpur"", ""to"", ""Genting"", ""Highlands"" ]"
[1,2,2];"[ ""Ramazan"", ""Serkan"", ""Kılıç"" ]"
[0,0,0,1,2,0,3,4,4];"[ ""4"", ""-"", ""LW"", ""Harry"", ""Watson"", ""("", ""Toronto"", ""Maple"", ""Leafs"" ]"
[1,2,0,0,0,0];"[ ""Vinko"", ""Möderndorfer"", ""("", ""born"", ""1958"", "")"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""All"", ""Select"", ""Comics"", ""''"", ""11"", ""("", ""Fall"", ""1946"", "")"" ]"
[0,0,5,0,0];"[ ""'"", ""''"", ""Shihezi"", ""''"", ""'"" ]"
[3,4,4,4,0,3,4,4,0,3,0,3,4,0] ;"[ ""Edgware"", ""Road"", ""tube"", ""station"", ""("", ""Circle"", "","", ""District"", ""and"", ""Hammersmith"", ""&"", ""City"", ""lines"", "")"" ]"
[1,2,0,0,0];"[ ""Michael"", ""Gorman"", ""("", ""librarian"", "")"" ]"
[0,0,1,0,1,0,0,0] ;"[ ""'"", ""''"", ""Soraya"", ""—"", ""''Soraya"", ""''"", ""'"", ""''"" ]"
[0,0,5,0,0,0,0,3,4,4,0,3,4,4,0,0,0,0,0,3,4,0,3,4,0,5,0,3,4,4,0,5,6,0];"[ ""Born"", ""in"", ""Belgrade"", "","", ""he"", ""played"", ""with"", ""FK"", ""Novi"", ""Pazar"", "","", ""FK"", ""Budućnost"", ""Podgorica"", "","", ""and"", ""most"", ""important"", "","", ""FK"", ""Partizan"", "","", ""UE"", ""Lleida"", ""in"", ""Spain"", ""and"", ""Busan"", ""Daewoo"", ""Royals"", ""in"", ""South"", ""Korea"", ""."" ]"
[0,1,2,2,0,5,0,0];"[ ""Rabbi"", ""Moses"", ""ben"", ""Nachman"", ""("", ""Ramban"", "")"", ""1194–1270"" ]"
[1,2,0,0,0,0];"[ ""Robert"", ""Singer"", ""("", ""Jewish"", ""leader"", "")"" ]"
[3,0,1,2,0,1,2];"[ ""Packers"", ""-"", ""Ray"", ""Scott"", ""/"", ""Tony"", ""Canadeo"" ]"
[0,0,0,0,0,0,0,0,0];"[ ""LRUs"", ""may"", ""be"", ""designed"", ""to"", ""ARINC"", ""700-series"", ""standards"", ""."" ]"
[0,0,0];"[ ""Nuvvuagittuq"", ""Greenstone"", ""Belt"" ]"
[1,2,2];"[ ""M."", ""R."", ""James"" ]"
[1,2,2,2,0,0];"[ ""Tom"", ""Lee"", "","", ""P"", "","", ""1884"" ]"
[0,0,0,0,3,4];"[ ""''"", ""Walkaways"", ""''"", ""by"", ""Counting"", ""Crows"" ]"
[1,2,2];"[ ""Salve"", ""Johannessøn"", ""Kallevig"" ]"
[0,0,0,0];"[ ""''"", ""Hellinsia"", ""paramoi"", ""''"" ]"
[1,2,2];"[ ""William"", ""Howard"", ""Hay"" ]"
[5,6,0,5];"[ ""East"", ""Canton"", "","", ""Ohio"" ]"
[0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,5,6,0];"[ ""It"", ""depicts"", ""the"", ""painter"", ""Thomas"", ""Cole"", "","", ""who"", ""had"", ""died"", ""in"", ""1848"", "","", ""and"", ""his"", ""friend"", "","", ""the"", ""poet"", ""William"", ""Cullen"", ""Bryant"", "","", ""in"", ""the"", ""Catskill"", ""Mountains"", ""."" ]"
[0,0,0,1,2,0,0,0,0,0];"[ ""Deputy"", ""President"", "":"", ""Thabo"", ""Mbeki"", ""("", ""starting"", ""10"", ""May"", "")"" ]"
[0,0,0,0,0,0];"[ ""The"", ""Mo'Nique"", ""Show"", ""''"", "","", ""2011"" ]"
[0,3,4,4,4];"[ "";"", ""Men"", ""'s"", ""team"", ""sabre"" ]"
[1,2,0,0,0,0,0,1,2,0];"[ ""Elijah"", ""Waring"", ""—"", ""''Recollections"", ""and"", ""Anecdotes"", ""of"", ""Edward"", ""Williams"", ""''"" ]"
[0,0,0,0,1,0,0,0];"[ ""It"", ""was"", ""described"", ""by"", ""Guenée"", "","", ""1854"", ""."" ]"
[1,2,0,1,2];"[ ""Masako"", ""Nozawa"", ""as"", ""Son"", ""Gohan"" ]"
[0,0,0,0,0,0,0];"[ ""''"", ""Ptychoglene"", ""pertunda"", ""''"", ""Druce"", "","", ""1889"" ]"
[1,2,0,1,2];"[ ""Karl"", ""Johnson"", ""–"", ""John"", ""Deakin"" ]"
[1,0,0,0,0,5];"[ ""John"", ""I"", "","", ""Count"", ""of"", ""Auvergne"" ]"
[1,2,0,0,0];"[ ""Kyle"", ""Martino"", ""–"", ""color"", ""commentator"" ]"
[0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""Reruns"", ""aired"", ""on"", ""Disney"", ""Channel"", ""from"", ""2000"", ""to"", ""September"", ""2"", "","", ""2003"", "","", ""and"", ""again"", ""from"", ""June"", ""5"", "","", ""2006"", ""to"", ""May"", ""16"", "","", ""2008"", ""."" ]"
[0,0,0,0,0,0];"[ ""'"", ""''"", ""Play-by-play"", ""2"", ""''"", ""'"" ]"
[5,0,5];"[ ""Greasertown"", "","", ""California"" ]"
[0,0,0,0,0,0,0];"[ ""On"", ""Your"", ""Shore"", ""''"", ""("", ""2004"", "")"" ]"
[0,0,5,6,0,0];"[ ""'"", ""''"", ""Gavvy"", ""Cravath"", ""''"", ""'"" ]"
[1,2,0,0,0,0,0];"[ ""Mansour"", ""Ebrahimzadeh"", ""("", ""Jul"", ""2013–Jul"", ""2014"", "")"" ]"
[0,1,2,0,5] ;"[ ""Prince"", ""Frederick"", ""William"", ""of"", ""Hesse-Kassel"" ]"
[0,0,0,0,0,0,1,2,0];"[ ""Sealed"", ""with"", ""a"", ""Kiss"", ""("", ""Bobby"", ""Vinton"", ""album"", "")"" ]"
[0,0,0,0,0];"[ ""4"", ""x"", ""100"", ""metres"", ""relay"" ]"
[0,0,0,0,5];"[ ""An"", ""enlargeable"", ""map"", ""of"", ""Liberia"" ]"
[1,2,0,0,0,0,0];"[ ""Thomas"", ""FitzGerald"", "","", ""5th"", ""Earl"", ""of"", ""Desmond"" ]"
[0,0,1,2,0,0];"[ ""'"", ""''"", ""Colin"", ""Montgomerie"", ""''"", ""'"" ]"
[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""It"", ""was"", ""the"", ""discussion"", ""home"", ""for"", ""the"", ""Pilgrimage"", ""demo"", ""party"", ""for"", ""its"", ""first"", ""years"", ""."" ]"
[3,4,4,0,5];"[ ""Melbourne"", ""Cricket"", ""Ground"", "","", ""Melbourne"" ]"
[1,2,0,0,0,0];"[ ""John"", ""Smith"", ""("", ""Chippewa"", ""Indian"", "")"" ]"
[0,0,0,0,0,0,0,0];"[ ""But"", ""unlike"", ""the"", ""Mauritius"", ""bulbul"", ""("", ""''H"", ""."" ]"
[1,2,2,2,2,2,2];"[ ""Fernando"", ""de"", ""la"", ""Fuente"", ""de"", ""la"", ""Fuente"" ]"
[0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0];"[ ""Vocalist"", ""Carl"", ""McCoy"", ""is"", ""the"", ""only"", ""original"", ""band"", ""member"", ""to"", ""be"", ""featured"", ""on"", ""this"", ""album"", ""."" ]"
